title,price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp
Premium cottage,€459,4 pers.,2 Slaapkamers,Van vr. 24 tot ma. 27 mrt.,59 m²,"België, Ardennen, Vielsalm",Les Ardennes,"13-03-2023, 09:55:59"
VIP cottage,€459,4 pers.,2 Slaapkamers,Van vr. 24 tot ma. 27 mrt.,75 m²,"België, Ardennen, Vielsalm",Les Ardennes,"13-03-2023, 09:55:59"
Comfort cottage,€699,8 pers.,4 Slaapkamers,Van vr. 24 tot ma. 27 mrt.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"13-03-2023, 09:55:59"
