title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
VIP cottage Vernieuwd,559€,,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,103m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:22:51",0,0
Premium cottage Vernieuwd,€599,€609,8 pers.,4 Slaapkamers,Van wo. 24 tot vr. 26 mei.,103m²,"België, Limburg, Peer",Erperheide,"11-04-2023, 11:22:51",10,1
Comfort cottage,€249,€329,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:22:51",80,24
VIP cottage,€279,€379,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:22:51",100,26
Premium cottage,€289,€369,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:22:52",80,21
VIP Lakeside cottage,€319,€419,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,100 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:22:52",100,23
VIP cottage,€349,€459,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:22:52",110,23
VIP cottage,€409,€519,2 pers.,1 Slaapkamer,Van vr. 14 tot zo. 16 apr.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:22:52",110,21
Premium cottage,€469,€559,12 pers.,6 Slaapkamers,Van ma. 15 tot wo. 17 mei.,132 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"11-04-2023, 11:22:53",90,16
VIP cottage,€339,€399,2 pers.,1 Slaapkamer,Van ma. 15 tot wo. 17 mei.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:53",60,15
VIP Lakeside cottage,€369,€439,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:53",70,15
VIP cottage,€409,€529,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:54",120,22
Exclusive Lakeside cottage,€409,€489,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:54",80,16
Exclusive Lakeside cottage,€429,€509,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:54",80,15
VIP Lakeside cottage,€509,€619,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:54",110,17
Exclusive Lakeside cottage,€589,€709,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:55",120,16
Exclusive cottage,€599,€949,4 pers.,2 Slaapkamers,Van vr. 14 tot ma. 17 apr.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:55",350,36
VIP cottage,€719,€839,12 pers.,6 Slaapkamers,Van ma. 15 tot wo. 17 mei.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:55",120,14
Exclusive cottage,€719,€979,6 pers.,3 Slaapkamers,Van vr. 12 tot zo. 14 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:56",260,26
Exclusive Lakeside cottage,€769,€919,12 pers.,6 Slaapkamers,Van ma. 15 tot wo. 17 mei.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:56",150,16
Exclusive cottage,€789,€979,2 pers.,1 Slaapkamer,Van di. 11 tot vr. 14 apr.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:56",190,19
Exclusive cottage,€1219,€3229,12 pers.,6 Slaapkamers,Van ma. 17 tot do. 20 apr.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:56",2010,62
VIP Lakeside cottage,€344,€429,4 pers.,2 Slaapkamers,Van wo. 20 tot vr. 22 dec.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"11-04-2023, 11:22:57",85,19
Hotelkamer Vernieuwd,€199,€339,2 pers.,1 Slaapkamer,Van ma. 15 tot wo. 17 mei.,27 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:57",140,41
Hotelsuite Vernieuwd,€279,€479,2 pers.,1 Slaapkamer,Van ma. 15 tot wo. 17 mei.,35 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:57",200,41
VIP cottage Vernieuwd,€319,€539,2 pers.,1 Slaapkamer,Van ma. 15 tot wo. 17 mei.,66 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:58",220,40
Premium cottage Vernieuwd,€329,€499,4 pers.,2 Slaapkamers,Van wo. 24 tot vr. 26 mei.,66 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:58",170,34
Rolstoelvriendelijk Premium cottage Vernieuwd,€389,€489,4 pers.,2 Slaapkamers,Van di. 30 mei. tot vr. 2 jun.,75 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:58",100,20
Premium cottage Vernieuwd,€399,€659,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:59",260,39
VIP cottage Vernieuwd,€439,€739,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:59",300,40
Premium cottage Vernieuwd,€439,€479,8 pers.,4 Slaapkamers,Van wo. 24 tot vr. 26 mei.,103 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:22:59",40,8
Wonders of Nature cottage,€449,€719,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:23:00",270,37
VIP cottage Vernieuwd,€489,€629,6 pers.,3 Slaapkamers,Van di. 23 tot do. 25 mei.,96 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:23:00",140,22
Wonders of Nature cottage,€499,€799,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:23:00",300,37
VIP cottage Vernieuwd,€809,€1349,10 pers.,5 Slaapkamers,Van ma. 15 tot wo. 17 mei.,171 m²,"België, Limburg, Lommel",De Vossemeren,"11-04-2023, 11:23:00",540,40
