title,price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp
VIP cottage,€519,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 mrt.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"10-03-2023, 14:59:36"
Comfort cottage,€319,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 mrt.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"10-03-2023, 14:59:36"
Comfort cottage,€359,5 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 mrt.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"10-03-2023, 14:59:36"
Comfort cottage,€369,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 mrt.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"10-03-2023, 14:59:36"
Comfort cottage,€379,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 mrt.,70 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"10-03-2023, 14:59:37"
Comfort cottage,€399,7 pers.,4 Slaapkamers,Van vr. 10 tot ma. 13 mrt.,80 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"10-03-2023, 14:59:37"
Comfort cottage,€559,8 pers.,4 Slaapkamers,Van vr. 10 tot ma. 13 mrt.,80 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"10-03-2023, 14:59:37"
