title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Premium cottage Rolstoelvriendelijk Vernieuwd,437,599,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:17:57",162,27
Premium cottage Vernieuwd,422,579,4 pers.,2 Slaapkamers,Van ma. 12 tot wo. 14 jun.,73m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:17:58",157,27
Premium cottage Vernieuwd,444,609,5 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,75m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:17:58",165,27
Premium cottage Vernieuwd,466,639,6 pers.,3 Slaapkamers,Van di. 6 tot do. 8 jun.,"83,5m²","Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:17:58",173,27
Comfort cottage Vernieuwd,394,539,4 pers.,2 Slaapkamers,Van di. 6 tot do. 8 jun.,67 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:17:59",145,26
Comfort cottage Vernieuwd,415,569,5 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,73m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:17:59",154,27
Comfort cottage Vernieuwd,437,599,6 pers.,3 Slaapkamers,Van di. 6 tot do. 8 jun.,"83,5m²","Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:17:59",162,27
VIP cottage Vernieuwd,466,639,4 pers.,2 Slaapkamers,Van di. 6 tot do. 8 jun.,75m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:18:00",173,27
Premium cottage Vernieuwd,523,719,8 pers.,4 Slaapkamers,Van di. 6 tot do. 8 jun.,103m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"04-04-2023, 12:18:00",196,27
