title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp
Premium cottage,€408,€598€408,6 pers.,3 Slaapkamers,Van ma. 13 tot wo. 15 mrt.,70 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"13-03-2023, 11:25:33"
Comfort cottage,€298,€308€298,6 pers.,3 Slaapkamers,Van ma. 13 tot wo. 15 mrt.,70 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"13-03-2023, 11:25:33"
Premium cottage,€478,€638€478,8 pers.,4 Slaapkamers,Van wo. 15 tot vr. 17 mrt.,85 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"13-03-2023, 11:25:33"
VIP cottage,€478,€608€478,6 pers.,3 Slaapkamers,Van ma. 27 tot wo. 29 mrt.,80 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"13-03-2023, 11:25:34"
VIP cottage,€819,€819,10 pers.,5 Slaapkamers,Van wo. 15 tot vr. 17 mrt.,140 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"13-03-2023, 11:25:35"
