title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€603,€709,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,54 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"01-06-2023, 14:08:04",106,14
Premium cottage,€663,€779,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,57 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"01-06-2023, 14:08:04",116,14
Premium cottage,€841,€989,6 pers.,3 Slaapkamers,Van vr. 10 tot ma. 13 nov.,70 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"01-06-2023, 14:08:04",148,14
Rolstoelvriendelijk Premium cottage Vernieuwd,€450,€529,4 pers.,2 Slaapkamers,Van za. 11 tot ma. 13 nov.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 14:08:05",79,14
Premium cottage Vernieuwd,€306,€359,4 pers.,2 Slaapkamers,Van zo. 12 tot di. 14 nov.,73m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 14:08:05",53,14
Premium Kindercottage Vernieuwd,€629,€739,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 14:08:06",110,14
Premium cottage Vernieuwd,€323,€379,5 pers.,3 Slaapkamers,Van zo. 12 tot di. 14 nov.,75m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 14:08:06",56,14
Premium cottage Vernieuwd,€399,€469,6 pers.,3 Slaapkamers,Van zo. 12 tot di. 14 nov.,"83,5m²","Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 14:08:07",70,14
Comfort cottage,€620,€729,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,55 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"01-06-2023, 14:08:07",109,14
Premium cottage,€722,€849,4 pers.,2 Slaapkamers,Van vr. 10 tot ma. 13 nov.,55 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"01-06-2023, 14:08:08",127,14
