title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Premium cottage Vernieuwd,639,979,6 pers.,3 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,72 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:02",340,34
Premium cottage,619,909,6 pers.,3 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,72 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:02",290,31
Comfort cottage Vernieuwd,569,839,6 pers.,3 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,72 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:02",270,32
Comfort cottage,719,789,6 pers.,3 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,72 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:03",70,8
VIP cottage Vernieuwd,779,1119,6 pers.,3 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,83 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:03",340,30
Premium cottage,909,1029,8 pers.,4 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,92 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:03",120,11
Premium cottage Vernieuwd,929,1099,8 pers.,4 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,92 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:03",170,15
VIP cottage Vernieuwd,979,1339,8 pers.,4 Slaapkamers,Van vr. 31 mrt. tot zo. 2 apr.,136 m²,"Frankrijk, Moselle Lorraine, Metz",Les Trois Forêts,"29-03-2023, 10:45:04",360,26
