title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
VIP cottage,€359,€519,6 pers.,3 Slaapkamers,Van wo. 14 tot vr. 16 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:45",160,30
Premium cottage,€389,€559,8 pers.,4 Slaapkamers,Van wo. 7 tot vr. 9 jun.,85 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:46",170,30
Premium cottage,€649,€1019,12 pers.,6 Slaapkamers,Van wo. 21 tot vr. 23 jun.,131 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:46",370,36
Premium cottage,€769,€1219,14 pers.,7 Slaapkamers,Van wo. 21 tot vr. 23 jun.,171 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:47",450,36
VIP cottage,€1579,€1949,8 pers.,4 Slaapkamers,Van vr. 21 tot ma. 24 jul.,93 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:47",370,18
Premium cottage,€1879,€2439,18 pers.,9 Slaapkamers,Van vr. 7 tot zo. 9 jul.,211 m²,"België, Ardennen, Vielsalm",Les Ardennes,"01-06-2023, 10:13:48",560,22
VIP cottage Vernieuwd,€389,€549,4 pers.,2 Slaapkamers,Van ma. 12 tot wo. 14 jun.,66m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:48",160,29
VIP cottage Vernieuwd,€429,€519,2 pers.,1 Slaapkamer,Van wo. 28 tot vr. 30 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:49",90,17
Dieren in het bos cottage,€479,€739,4 pers.,2 Slaapkamers,Van wo. 28 tot vr. 30 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:49",260,35
VIP cottage Vernieuwd,€509,€709,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,103m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:50",200,28
Premium cottage Vernieuwd,€679,€979,8 pers.,4 Slaapkamers,Van di. 20 tot do. 22 jun.,103m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:50",300,30
Pony cottage Vernieuwd,€679,€959,5 pers.,3 Slaapkamers,Van ma. 12 tot vr. 16 jun.,64m²,"België, Limburg, Peer",Erperheide,"01-06-2023, 10:13:51",280,29
VIP cottage,€299,€419,2 pers.,1 Slaapkamer,Van di. 27 tot do. 29 jun.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:52",120,28
Comfort cottage,409€,,8 pers.,4 Slaapkamers,Van ma. 19 tot wo. 21 jun.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:52",0,0
VIP Lakeside cottage,€429,€689,6 pers.,3 Slaapkamers,Van di. 6 tot do. 8 jun.,100 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:53",260,37
VIP cottage,€459,€729,4 pers.,2 Slaapkamers,Van di. 27 tot do. 29 jun.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:53",270,37
Premium cottage,479€,,8 pers.,4 Slaapkamers,Van di. 20 tot do. 22 jun.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:54",0,0
Premium cottage,719€,,12 pers.,6 Slaapkamers,Van ma. 19 tot wo. 21 jun.,132 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:54",0,0
VIP cottage,€899,€1349,6 pers.,3 Slaapkamers,Van vr. 2 tot ma. 5 jun.,85 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"01-06-2023, 10:13:55",450,33
VIP cottage,€549,€609,2 pers.,1 Slaapkamer,Van vr. 1 tot zo. 3 sept.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:55",60,9
VIP cottage,€649,€869,8 pers.,4 Slaapkamers,Van ma. 26 tot wo. 28 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:56",220,25
Exclusive cottage,€799,€989,2 pers.,1 Slaapkamer,Van vr. 7 tot ma. 10 jul.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:56",190,19
Exclusive cottage,€864,€959,4 pers.,2 Slaapkamers,Van vr. 1 tot zo. 3 sept.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:57",95,9
VIP Lakeside cottage,€882,€979,4 pers.,2 Slaapkamers,Van vr. 1 tot zo. 3 sept.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:58",97,9
Exclusive Lakeside cottage,€959,€1139,4 pers.,2 Slaapkamers,Van vr. 16 tot zo. 18 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:58",180,15
Exclusive cottage,€989,€1429,6 pers.,3 Slaapkamers,Van vr. 7 tot ma. 10 jul.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:59",440,30
Exclusive Lakeside cottage,€999,€1299,6 pers.,3 Slaapkamers,Van vr. 9 tot zo. 11 jun.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:13:59",300,23
VIP Lakeside cottage,€1089,€1479,8 pers.,4 Slaapkamers,Van ma. 5 tot vr. 9 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:14:00",390,26
Exclusive Lakeside cottage,€1149,€1599,8 pers.,4 Slaapkamers,Van ma. 12 tot vr. 16 jun.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:14:00",450,28
VIP cottage,€1399,€1949,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:14:01",550,28
Exclusive cottage,€1679,€2339,12 pers.,6 Slaapkamers,Van ma. 5 tot vr. 9 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:14:02",660,28
Exclusive Lakeside cottage,€1849,€2409,12 pers.,6 Slaapkamers,Van ma. 19 tot vr. 23 jun.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:14:02",560,23
VIP Lakeside cottage,€384,€479,6 pers.,3 Slaapkamers,Van di. 5 tot do. 7 dec.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"01-06-2023, 10:14:03",95,19
Premium cottage Vernieuwd,€309,€469,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,66 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:03",160,34
VIP cottage Vernieuwd,€399,€659,2 pers.,1 Slaapkamer,Van za. 10 tot ma. 12 jun.,66 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:04",260,39
Premium cottage Vernieuwd,€409,€639,8 pers.,4 Slaapkamers,Van ma. 5 tot wo. 7 jun.,103 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:05",230,35
VIP cottage Vernieuwd,€459,€699,6 pers.,3 Slaapkamers,Van ma. 5 tot wo. 7 jun.,96 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:05",240,34
VIP cottage Vernieuwd,€499,€839,4 pers.,2 Slaapkamers,Van di. 20 tot vr. 23 jun.,75m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:06",340,40
Wonders of Nature cottage,€529,€819,4 pers.,2 Slaapkamers,Van za. 10 tot ma. 12 jun.,75m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:06",290,35
Premium cottage Vernieuwd,€529,€789,5 pers.,3 Slaapkamers,Van di. 27 tot vr. 30 jun.,75 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:07",260,32
Rolstoelvriendelijk Premium cottage Vernieuwd,€639,€859,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,75 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:08",220,25
Wonders of Nature cottage,€649,€899,6 pers.,3 Slaapkamers,Van di. 27 tot vr. 30 jun.,75 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:08",250,27
VIP cottage Vernieuwd,€2089,€2789,10 pers.,5 Slaapkamers,Van di. 4 tot vr. 7 jul.,171 m²,"België, Limburg, Lommel",De Vossemeren,"01-06-2023, 10:14:09",700,25
