title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Exclusive Lakeside cottage,€669,€709,8 pers.,4 Slaapkamers,Van ma. 15 tot wo. 17 mei.,125 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:38",40,5
Exclusive cottage,€749,€979,6 pers.,3 Slaapkamers,Van vr. 12 tot zo. 14 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:39",230,23
Exclusive cottage,749€,,2 pers.,1 Slaapkamer,Van vr. 21 tot ma. 24 apr.,58 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:39",0,0
Exclusive Lakeside cottage,€789,€1169,6 pers.,3 Slaapkamers,Van vr. 14 tot ma. 17 apr.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:39",380,32
VIP cottage,€799,€839,12 pers.,6 Slaapkamers,Van ma. 15 tot wo. 17 mei.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:40",40,4
VIP Lakeside cottage,€909,€1269,6 pers.,3 Slaapkamers,Van ma. 22 tot vr. 26 mei.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:40",360,28
Exclusive Lakeside cottage,€1479,€3489,12 pers.,6 Slaapkamers,Van ma. 17 tot do. 20 apr.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:40",2010,57
Exclusive cottage,€1659,€2439,12 pers.,6 Slaapkamers,Van ma. 8 tot vr. 12 mei.,182 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:41",780,31
VIP Lakeside cottage,€344,€429,4 pers.,2 Slaapkamers,Van wo. 20 tot vr. 22 dec.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:41",85,19
VIP cottage Vernieuwd,€319,€539,2 pers.,1 Slaapkamer,Van ma. 15 tot wo. 17 mei.,66 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:41",220,40
Premium cottage Vernieuwd,€329,€499,4 pers.,2 Slaapkamers,Van wo. 24 tot vr. 26 mei.,66 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:41",170,34
Premium cottage Vernieuwd,€374,€519,5 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,75 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:42",145,27
Rolstoelvriendelijk Premium cottage Vernieuwd,€423,€469,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,75 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:42",46,9
VIP cottage Vernieuwd,€439,€739,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:42",300,40
Premium cottage Vernieuwd,€439,€479,8 pers.,4 Slaapkamers,Van wo. 24 tot vr. 26 mei.,103 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:43",40,8
Wonders of Nature cottage,€449,€719,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:43",270,37
VIP cottage Vernieuwd,€489,€629,6 pers.,3 Slaapkamers,Van di. 23 tot do. 25 mei.,96 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:43",140,22
Wonders of Nature cottage,€499,€799,6 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,75 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:44",300,37
VIP cottage Vernieuwd,€809,€1349,10 pers.,5 Slaapkamers,Van ma. 15 tot wo. 17 mei.,171 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:44",540,40
