title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Premium Lakeside cottage,€349,€469,4 pers.,2 Slaapkamers,Van di. 27 tot do. 29 jun.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"25-05-2023, 11:26:58",120,25
Premium cottage,€379,€449,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"25-05-2023, 11:26:59",70,15
Premium Lakeside cottage,€409,€479,6 pers.,3 Slaapkamers,Van di. 6 tot do. 8 jun.,65 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"25-05-2023, 11:27:00",70,14
Premium cottage,€299,€399,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,60 m²,"Frankrijk, Picardië, Laon",Le Lac d’Ailette,"25-05-2023, 11:27:00",100,25
Premium cottage,€389,€559,4 pers.,2 Slaapkamers,Van di. 13 tot do. 15 jun.,53 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 11:27:01",170,30
Premium cottage Vernieuwd,€369,€449,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,53 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 11:27:01",80,17
Premium cottage Vernieuwd,€459,€519,6 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,72 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 11:27:02",60,11
Premium cottage,€439,€479,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,72 m²,"Frankrijk, Lorraine, Metz",Les Trois Forêts,"25-05-2023, 11:27:03",40,8
Premium cottage Vernieuwd,€389,€569,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,64m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"25-05-2023, 11:27:03",180,31
Premium cottage Vernieuwd,€379,€539,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"25-05-2023, 11:27:04",160,29
Premium cottage Vernieuwd,€419,€629,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"25-05-2023, 11:27:04",210,33
Comfort cottage,€449,€599,4 pers.,2 Slaapkamers,Van ma. 12 tot wo. 14 jun.,54 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"25-05-2023, 11:27:05",150,25
Premium cottage,€569,€829,4 pers.,2 Slaapkamers,Van ma. 12 tot wo. 14 jun.,57 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"25-05-2023, 11:27:06",260,31
Premium cottage,€649,€859,6 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,70 m²,"Frankrijk, Parijs - Île De France, Marne La Vallée",Villages Nature® Paris,"25-05-2023, 11:27:06",210,24
Rolstoelvriendelijk Premium cottage Vernieuwd,€409,€579,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"25-05-2023, 11:27:07",170,29
Premium cottage Vernieuwd,€389,€559,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,73m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"25-05-2023, 11:27:07",170,30
